Real Response,Model Response
CC(C1=CC(=CC(=C1)C(F)(F)F)C(F)(F)F)OCC2(CCC3(CCC(=O)N3)CN2)C4=CC=CC=C4.O.Cl,C1C[C@@H](NC(=O)[C@@H]2CCCN2C(=O)C2=CC=CC=C2)C(=O)N1C.C1=CC2=CC=CC=C2C=C1
CC(C)NCC(C1=CC(=CC(=C1)O)O)O.CC(C)NCC(C1=CC(=CC(=C1)O)O)O.OS(=O)(=O)O,"COC1CC(CNC1)OCCC2=CC(=C(C=C2)Cl)C#N.OS(=O)(=O)C.O. InChI=1S/C18H22ClNO.2H2O4S/c19-15-6-8-16(9-7-15)24-17-5-3-4-14(12-17)18(20)10-13-21(11-18)2-1-2-23-25(20,21)22/h6-9,12,20H,1-2,10-11,13,22H2. Canonical SMILES: COC1CC(CNC1)OCCC2=CC(=C(C=C2)Cl)C#N.OS(=O)(=O)C.O"
CC(CC1=CC=CC=C1)N(C)CC#C.Cl,CC(C(=O)O)NC
CC1C=CC=C(C(=O)NC2=C(C3=C(C4=C(C(=C3O)C)OC(C4=O)(OC=CC(C(C(C(C(C(C1O)C)O)C)OC(=O)C)C)OC)C)C5=NC6(CCN(CC6)CC(C)C)N=C25)O)C,CC1=C(NC(=C1N)N)C(=O)NC2=C(S3CC4C(C(C=C4C(=O)C3=C2N2C=NC=N2)C(=O)O)C(=O)O)SC(C)C
C1CCN(CC1)C2=NC(=NC3=C2N=C(N=C3N4CCCCC4)N(CCO)CCO)N(CCO)CCO,CC(=O)NC1=NC(=C2N(C1=O)C=NC2=N)N.C1COCC1
CN1CCC2=C3C1CC4=C(C3=CC=C2)C(=C(C=C4)O)O.Cl,C1CNCCN1C2=CC(=C(C=C2)Cl)Cl.Cl[Pd-2]Cl2
C1=CC=C2C(=C1)C(=NO2)CS(=O)(=O)N,C1CN(CCN1CC2=CC=CC=C2)C(=O)C3=CC=CC=C3.[I]
CC1=C(C(=CC=C1)C)NC(=O)CN2CCN(CC2)CC(COC3=CC=CC=C3OC)O,CCN(CC)CC(O)C(O)C1C2CC3CC(CC(C3(C2CC2N1C1=CC=CC=C21)C(=O)OC)F)O.Cl
CC(C)NCC(COC1=CC=CC2=C1C=CN2)O,CNC(C)C(O) (C1=CC=C2C(=C1)C(=NC=N2)N)C.Cl
C=CCN.C1C(O1)CCl.Cl,[O-]P([O-])(=O)([O-])=O.[Na+]
CNC(=C[N+](=O)[O-])NCCSCC1=CSC(=N1)CN(C)C,CC(NC(O)C1=CC=CC=C1)C(=O)N.Cl
CC1=C(SC=N1)C=CC2=C(N3C(C(C3=O)NC(=O)C(=NOC)C4=CSC(=N4)N)SC2)C(=O)OCOC(=O)C(C)(C)C,CC1C(C(N2C(S1)C(C2=O)NC(=O)CC3=CC=CC=C3)C(=O)O)C(=O)O.[2H]c1c(ncn1C)N
CC(C)CC(C(=O)NC(CCSC)C(=O)NC(CC(=O)N)C(=O)NC(C(C)O)C(=O)O)NC(=O)C(CC1=CNC2=CC=CC=C21)NC(=O)C(CCC(=O)N)NC(=O)C(C(C)C)NC(=O)C(CC3=CC=CC=C3)NC(=O)C(CC(=O)O)NC(=O)C(CCC(=O)N)NC(=O)C(C)NC(=O)C(CCCNC(=N)N)NC(=O)C(CCCNC(=N)N)NC(=O)C(CO)NC(=O)C(CC(=O)O)NC(=O)C(CC(C)C)NC(=O)C(CC4=CC=C(C=C4)O)NC(=O)C(CCCCN)NC(=O)C(CO)NC(=O)C(CC5=CC=C(C=C5)O)NC(=O)C(CC(=O)O)NC(=O)C(CO)NC(=O)C(C(C)O)NC(=O)C(CC6=CC=CC=C6)NC(=O)C(C(C)O)NC(=O)CNC(=O)C(CCC(=O)N)NC(=O)C(CO)NC(=O)C(CC7=CN=CN7)N,CCCCC(NC(=O)CCCNC(NC(=O)CCCNC(=N)N)C(=O)NC(CC1=CC=CC=C1)C(=O)NC(CC(=O)O)C(=O)NC(CCCCN)C(=O)NC(CCCCN)C(=O)NCC(=O)N)C(=O)N1CCCC1C(=O)N)C(=O)N1CCCC1C(=O)O.C(C1C(C(C(C(O1)O)O)O)O)O    
CCC(=O)OCC(=O)C1(C(CC2C1(CC(C3(C2CCC4=CC(=O)C=CC43C)Cl)O)C)C)OC(=O)CC,C1CC1C2C(CC3C2CCC4=CC(=O)C=CC3C4)(C(=O)CO)O.Cl
CCOC(=O)C(CCC1=CC=CC=C1)NC2CCC3=CC=CC=C3N(C2=O)CC(=O)O.Cl,"CC1=NC=C(C2CCCC2)C(N)=N1
"
CCCCOC1=C(C=CC(=C1)C(=O)OCCN(CC)CC)N.Cl,C1=CC=C(C=C1)CCN2CCCC2.N.CHCl3
C1=CC=C(C=C1)C(=O)OOC(=O)C2=CC=CC=C2,C1=CC=C(C(=C1)CC(=O)O)NC2=C(C=CC=C2Cl)Cl.C(C(=O)O)C(C(=O)O)O.C(CS)S.C(CS)S.[Cu]
CCNC(=O)CCCC=CCC1C(CC(C1C=CC(CCC2=CC=CC=C2)O)O)O,CC1(CC(C(=O)C1CCCCCCC(=O)O)O)C.CCN(CC)CCCCNc2cc3c(cc2F)OCCO3
CC1=C(C(=CC=C1)Cl)NC(=O)C2=CN=C(S2)NC3=CC(=NC(=N3)C)N4CCN(CC4)CCO,CC1=C(C=C(C=C1)O) NC2=NC=C(S2) NC3=CC=C(C=C3) CN4C=NC5=CC=CC=C54.CC[C@H](C(=O)O) N.CC[C@H](C(=O)O) N.Cl.Cl.ODDQXBELUMMVMW-ZDUSSCGKSA-L
CC1=CN=C2N1C3=C(C=C(C=C3)Br)C(=NC2CCC(=O)OC)C4=CC=CC=N4.C1=CC=C(C=C1)S(=O)(=O)O,C1C(=O)NC2=C(C=C(Cl)C=C2)N1CC(=O)O.C3(=CC=CC=C3Cl)N=C(N=C4N(C)N=CC5=C4C=CC=C5)SNN=C6N7C(C(=O)C(Cl)(C(=O)O7)C(Cl)Cl)C6(OC)O.SMILES
CCNC(=O)N(CCCN(C)C)C(=O)C1CC2C(CC3=CNC4=CC=CC2=C34)N(C1)CC=C,C1CN(CCC1N2C=C(C(=O)C3=CC=CC=C32)C(=O)OC)C.C(Cl)Cl
C1C=C(N2C(S1)C(C2=O)NC(=O)C(=CCC(=O)O)C3=CSC(=N3)N)C(=O)O.O.O,CC(C1=CC=C(C=C1)F)N2C(=O)C3=CC=CC=C3C(=N2)C4C(=O)CC(O4)(C)C(=O)O
CCN1CCN(C(=O)C1=O)C(=O)NC(C2=CC=C(C=C2)O)C(=O)NC3C4N(C3=O)C(=C(CS4)CSC5=NN=NN5C)C(=O)[O-].[Na+],CC1C(N2C(S1)C(C2=O)NC(=O)CC3=CC=CC=C3)C(=O)O.
CC1(CC(=O)N(C1=O)C)C2=CC=CC=C2,c1cn(c2c1cccc2)CCc1cncn1.Cl
C1CC1CN2C(=O)CN=C(C3=C2C=CC(=C3)Cl)C4=CC=CC=C4,C1C(=O)NC2=C(C=CC=C2)N1C3=C(C=CC=C3)Cl
C1=CC(=CC=C1C(C(CO)NC(=O)C(Cl)Cl)O)[N+](=O)[O-],CC1C(C(N2C(S1)C(C2=O)NC(=N)NC3=C(C=C(C=C3O)F)Cl)C(=O)O)SCC(C4=CC(=C(C=C4C(=O)O)F)F)(F)F.Cl
CCCC1CC(N(C1)C)C(=O)NC(C2C(C(C(C(O2)SC)O)O)O)C(C)O.Cl,CC(=O)C1C(C(OC1N2C=CC(=NC2=O)C(N)C)O)C(O)O
CN=C1CN(C(=C2C=C(C=CC2=N1)Cl)C3=CC=CC=C3)O.Cl,C1CCC2NC(=O)N(C(=O)C3(C1CC(C3)F)F)C2(F)F
N.N.Cl[Pt]Cl,C1=NC(=NC(=O)N1N)N.C=CC(=O)O.CN2C=NC3=C2N=C(NC3=O)C(=NC(=N)N)N.OC(CS)C(O)C(N)C(=O)O.[Cu+]
CN(C)CC1CCCCC1(C2=CC(=CC=C2)OC)O.Cl,C1=CC=C(C=C1)C(C2=CC=CC=C2)NCC3CCNCC3.C(=O)(O)C.C1=CC=C(C=C1)S(=O)(=O)O.C1=CC=C(C=C1)S(=O)(=O)O.C1=CC=C(C=C1)S(=O)(=O)O.[Y].[Y].[Y].[Y].[Y].[Y].[Y].[Y].[Y].C1=CC=C2C(=C1)C(=CC(=O)2)O.[Y].[Y].[Y].[Y].[Y].[Y].[Y].[Y].[Y].[Y].[Y].[Y].[Y].[Y].[Y].[Y].[Y].[Y].[Y].[Y].[Y].[Y].C1=CC=C(C=C1)S(=O)(=O)[O-].[Na+].[Na+].[Y].[Y].[Y].[Y].[Y].[Y].[Y].[Y].[Y].[Y].[Y].[Y].[Y].[Y].[Y].[Y].[Y].[Y].[Y].[Y].[Y].[Y].[Y].[Y].[Y].[Y].[Y].[Y].[Y].[Y].[Y].[Y].[Y].[Y].[Y].[Y].[Y].[Y].[Y].[Y].[Y].[Y].[Y].[Y].[Y].[Y].[Y].[Y].[Y].[Y].[Y].[Y].[Y].[Y].[Y].[Y].[Y].[Y].[Y].[Y].[Y].[Y].[Y].[Y].[Y].[Y].[Y].[Y].[Y].[Y].[Y].[Y].[Y].[Y].[Y].[Y].[Y].[Y].[Y].[Y].[Y].[Y].[Y].[Y].[Y].[Y].[Y].[Y].[Y].[Y].[Y].[Y].[Y].[Y].[Y].[Y].[Y].[Y].[Y]
CS(=O)(=O)O.C1CNCC(C2=CC(=C(C(=C21)Cl)O)O)C3=CC=C(C=C3)O,CCN(CC)CCOC1=CC(=C(C=C1)NC(=O)NC2=CC=C(C=C2)Cl)Cl.[I-].[I-]
CC1=CC2=C(C=C1C)N(C3=NC(=O)NC(=O)C3=N2)CC(C(C(COP(=O)(O)O)O)O)O,C1CC2=C(C(=C(C3=C2N(C=C3C4=CC(=NN4C)C=C)C)N(C1=O)C)COC(=O)N)O.
CCC(C1=CC(=CC=C1)O)C(C)CN(C)C.Cl,C[C@@]1(CN2CC[C@@]34[C@@]5([H])(CC(C3[C@H]1CC6=C5C(=C2)C(=C(C=C6)O)O4)O)C)OC.O.O.C(C(N([C@H]7[C@H]([C@@H]([C@H]([C@@H](O7)CO)O)O)O)O)([H])C1=CC=C(C=C1)O)O.Cl.InO.O.O.[Fe++].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[Na+]
CC1(C2=C(C=CC(=C2)S(=O)(=O)[O-])[N+](=C1C=CC3=C(C(=CC=C4C(C5=C(N4CCCCS(=O)(=O)[O-])C=CC(=C5)S(=O)(=O)[O-])(C)C)CCC3)OC6=CC=C(C=C6)CC(C(=O)[O-])NC(=O)C7=CC=C(C=C7)NCC8=CN=C9C(=N8)C(=O)NC(=N9)N)CCCCS(=O)(=O)[O-])C.[Na+].[Na+].[Na+].[Na+],C1=CC=C(C(=C1)C2=C(C(=O)C3=CC=CC=C3N2)NC(=O)CC4=CC=C(C=C4)N)NC(=O)CC5=CC=CC=C5.C(C1C(C(C(C(O1)O)OP(=O)(O)O)O)O)C(O)CN6C=NC7=C6N=CN=C7N
CC1(C2C1C(N(C2)C(=O)C(C(C)(C)C)NC(=O)NC(C)(C)C)C(=O)NC(CC3CCC3)C(=O)C(=O)N)C,C1=CN(C(=O)N(C1=O)C2CC(C(O2)C(C3=CC=C(C=C3)F)NC(=O)C4=CC=CC=C4)O)C5=CC=CC=C5
CC1CC2C3CCC4=CC(=O)C=CC4(C3(C(CC2(C1(C(=O)COC(=O)C)O)C)O)F)C,C1=CC(=C(C=C1CC(C(=O)O)N)O)Cl.[Na+]
CC(C)C1=C(C=C(C(=C1)C2=NNC(=O)N2C3=CC4=C(C=C3)N(C=C4)C)O)OP(=O)(O)O,C1=C2C(=NC=N1)N(C=N2)C3C(C(C(O3)CO)O)O.SMILES string
CC(=O)OC1=CC2=C(C=C1)C3CCC4(C(C3CC2)CCC4O)C,C1C2=C(C=CC=C2)C(=CC=C1)O
CCC1(CC(=O)NC1=O)C,CC1=CC=CC=C1N2C3C2C(=O)NC(=O)N3CCCC4=CN=CC=C4
CC(CC1=CC=CC=C1)NC.Cl,CN(C)CC(CC1=CC=C(C=C1)O)O.Cl
CC1=CC(=C(C=C1)O)C(CCN(C(C)C)C(C)C)C2=CC=CC=C2.C(C(C(=O)O)O)(C(=O)O)O,C[N+](C)(C)CCOC[C@@H]1O[C@H](CCl)n2nc(C)s2)c2cc(Cl)ccc21
CC1=NS(=O)(=O)C2=C(N1)C=CC(=C2)Cl,C1=CC=C(C(=C1)CC(=O)O)NS(=O)(=O)C2=CC=CC=C2.Cl
CN1CCC23C4C1CC5=C2C(=C(C=C5)O)OC3C(=O)CC4.Cl,C1CC(=O)NC2C1CN3CCC2CC3.CCC(=O)C.C4CC5=C6C(=C54)C7=CC(=C(C=C7O6)OC)N5CCN(C)CC8=C5C(=C(N8)C=C(C=CC=C1)C1=CC=C(C=C1)C2=CC=CC=C2)C=C3
COC(=O)C=CC(=O)OC,C1=CC=C(C(=C1)CC(=O)[O-])N.Cl[N+](=C2C=CC=CC2=[N+](C)C)C=C3C=CC=CC3=[N+](C)C.[Cl-].Cl-
CCCCCC1=CC(=C2C3C=C(CCC3C(OC2=C1)(C)C)C)O,CCC1=CC(=C(C=C1)C(C)C)O.C(=O)(C=CC(=O)O)O
C1COCC1OC2=CC=C(C=C2)CC3=C(C=CC(=C3)C4C(C(C(C(O4)CO)O)O)O)Cl,C1=CC=C(C(=C1)CC(=O)O)NC2=CC=C(C=C2)NCCO
C(C(OC(F)F)(F)F)(F)Cl,C1=CC=C2C(=C1)C(=NC=N2)CC(=O)O.N[O-].[Ca+2].[Cl-].[Cl-]
CC12CCC(=O)C=C1CC(C3C24C(O4)CC5(C3CCC56CCC(=O)O6)C)C(=O)OC,C1=CC=C(C=C1)C2=NC3=C(S2)C=CC(=C3N)CC(=O)O.O.[Zn+2]
CCCCCOC1=CC=C(C=C1)C2=CC=C(C=C2)C3=CC=C(C=C3)C(=O)NC4CC(C(NC(=O)C5C(C(CN5C(=O)C(NC(=O)C(NC(=O)C6CC(CN6C(=O)C(NC4=O)C(C)O)O)C(C(C7=CC=C(C=C7)O)O)O)C(C)O)C)O)O)O,CC1(C(=O)NCNC1=O)COS.PopenPartialResult
CC(CN1C=CC(=N1)C2=CC(=C(C=C2)C#N)Cl)NC(=O)C3=NNC(=C3)C(C)O,CC(=O)NC1=CC=C(C=C1)N(CCCN(C)C)C2=CC(=C(C=C2)Cl)Cl.Cl
CCC(CO)NCCNC(CC)CO.Cl.Cl,C1=CC(=C(C=C1NC2=C(C=C(C(=C2Cl)F)Cl)F)Cl)OC3=CC=C(C=C3)N=C(N)N
CCCCCCCCC=CCCCCCCCC(=O)O.C(CO)N,C1=CC(=CC=C1NC(=O)C2CSC(=N2)C(=O)NCC3=CC=CC=C3)C(=O)O.OS(=O)(=O)O.O.[Ca+2]
C1C(C(C(C(N1)CO)O)O)O.Cl,CC(C1C(C(C(C(O1)OC2(C(C(C(C(O2)CO)OC3(C(C(C(C(O3)COS(=O)(=O)O)O)Cl)O)O)F)O)O)NC)O)O)O)OS(=O)(=O)O.[Fe]
CON=C1CN(CC1CN)C2=C(C=C3C(=O)C(=CN(C3=N2)C4CC4)C(=O)O)F.CS(=O)(=O)O,C1CNC2N1C3CCC4C(C(=O)C5=CC=CC=C5N4C3C2=O)C(=O)O
C1=CC=C(C=C1)C(COC(=O)N)COC(=O)N,C1=CC=C(C(=C1)CCN)NC(=O)C1=CC=CC=C1.Cl
CC(C)C(=O)OC1=C(C=C(C=C1)CO)C(CCN(C(C)C)C(C)C)C2=CC=CC=C2.C(=CC(=O)O)C(=O)O,C[N+](C)(C)CCOC(=O)C1=CC=CC=C1                                                              
C1=NC2=C(N=C(N=C2N1C3C(C(C(O3)COP(=O)(O)O)O)O)F)N,CC1=CN(C(=O)NC1=O)C2C(C(C(O2)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O)O.CC1=CN(C(=O)NC1=O)C2C(C(C(O2)CO)O)OP(=O)(O)O
CC(CC1=CC=C(C=C1)OC)NCC(C2=CC(=C(C=C2)O)NC=O)O.CC(CC1=CC=C(C=C1)OC)NCC(C2=CC(=C(C=C2)O)NC=O)O.C(=CC(=O)O)C(=O)O,CC(C1=CC(=C(C=C1)O)O)NCC2=CC(=C(C=C2)O)O.OS(=O)(=O)[O-].[Na+]
C1CCC(CC1)NC(=O)N(CCCl)N=O,C1=CC(=C(C=C1C(=O)O)O)O.[Na+]
C(=N)(N)N.Cl,C1=CC(=CC=C1CNCCC[C@H](C(=O)O)N)Cl.[Pt](Cl)(Cl)Cl
CCCC(=O)OC1(CCC2C1(CC(C3C2CCC4=CC(=O)CCC34C)O)C)C(=O)CO,CC(=O)NC1=CC=C(C=C1) [O-].CC(=O)NC1=CC=C(C=C1) [O-].[Cr+3].[OH-]
C1=CN=CC=C1C(=O)NN,C1=CC(=CC(=C1)O)C(=O)NC2=C(C=CC=C2Cl)Cl.Cl
CC1=CN=C(N=C1NC2=CC(=CC=C2)S(=O)(=O)NC(C)(C)C)NC3=CC=C(C=C3)OCCN4CCCC4.O.Cl.Cl,CC1(C2CC3=C(C4=CC=CC=C4C(C1N2)C3)NC(=O)NC5=CC=CC=C65)C.Cl
CCC(C)C1C(=O)NC(C(=O)NCC(=O)NCC(=O)NC2CSSCC3C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)N4CCCC4C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(CSSCC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(CSSCC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NCC(=O)N5CCCC5C(=O)N3)CC(=O)O)CC(=O)O)C)CCCCN)CC6=CC=CC=C6)C)NC(=O)C(CC7=CC=CC=C7)NC(=O)C(CO)NC(=O)C(CC8=CN=CN8)NC(=O)C(CCSC)NC(=O)C(C)NC(=O)C(CCC(=O)O)N)C(=O)NC(C(C)O)C(=O)NC(CCCNC(=N)N)C(=O)NC(CC(=O)O)C(=O)O)CCSC)CCCCN)CCCCN)NC(=O)C(NC(=O)C(NC(=O)C(NC(=O)C(NC(=O)C(NC(=O)C(NC(=O)C(NC(=O)C(NC(=O)C(NC(=O)C(NC(=O)CNC(=O)C(NC2=O)CCC(=O)O)CC(=O)N)CCC(=O)N)CC(=O)N)CCCNC(=N)N)CC9=CC=CC=C9)CCC(=O)O)CO)CC(C)C)CCC(=O)O)CCC(=O)O)C(=O)NC(C(=O)NC(C(=O)NC(C(=O)N1)CC1=CC=CC=C1)CCC(=O)O)CCC(=O)O)CCC(=O)N)CCCNC(=N)N)C(C)O)CC1=CC=CC=C1)C(C)CC)CC(=O)N)CC1=CC=CC=C1)CC1=CC=CC=C1)CC1=CNC2=CC=CC=C21)CCCNC(=N)N)CC1=CN=CN1)C)C)CCCNC(=N)N)CC1=CC=C(C=C1)O,CC1C(OC(=O)N1)CN2C=CC=CC=2
CCN(CC)C(C)CN1C2=CC=CC=C2SC3=CC=CC=C31.Cl,CC(=O)NC1=CC=C(C=C1)O.CN1C(=O)C2=CC=CC=C2C1=O.C1=CC=C(C=C1)O.C1=CC=C(C=C1)O.C1=CC=C(C=C1)O.Br.[Mg+2]
CC(C)CC(C(=O)NC(CCCCN)C(=O)N1CCC(CC1)(C(=O)O)N)NC(=O)C(CC2=CC=CC=C2)NC(=O)C(CC3=CC=CC=C3)N.CC(=O)O,CC1=CC2=C(C=C1)N(C3CC4CC5=C(C4(C6CCNCC6)CC3)NC(=C5C2=O)C7=CC=CC=C7)C.C(=O)(O)C.C(=O)(O)O
CC1CS(=O)(=O)CCN1N=CC2=CC=C(O2)[N+](=O)[O-],C1=NC2=C(N1C(C3C(C(C(O3)CO)O)O)O)N(C(=N2)N)COP(=O)(O)O
C1CCC(C(C1)CN2CCN(CC2)C3=NSC4=CC=CC=C43)CN5C(=O)C6C7CCC(C7)C6C5=O.Cl,C1CNCCC1CCC2C3=CC=CC=C3SC4C2=CC=CC=C4N.C1CNCCC1CCC2C3=CC=CC=C3SC4C2=CC=CC=C4N.Cl
CCC(C1=CC=CC=C1)C2=C(C3=CC=CC=C3OC2=O)O,C1=CC=C2C(=C1)C(=O)C(=CN2C3=CC=CC=C3S(=O)(=O)[O-])CCN4C=C(C=C(C4=O)C(=C/C5=CC=CC=C5)\C(=O)C6=CC=CC=C6)C.C.[Tf-]
CC(C1C(=O)NC(CSSCC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)N1)CCCCN)CC2=CNC3=CC=CC=C32)CC4=CC=C(C=C4)O)NC(=O)C(CC5=CC=CC=C5)NC(=O)CN6CCN(CCN(CCN(CC6)CC(=O)[O-])CC(=O)[O-])CC(=O)[O-])C(=O)NC(C(C)O)C(=O)O)O.[Lu+3],C1CN(CCN1C2=CC=C(C=C2)Cl)C(=O)CC3=C(C(=C(C=C3)O)Cl)NC(=O)OCCCCN4C5=CC=CC=C5SCN=C4C6=CC=CC=C6.Cl
CC1=NN=C(N1C2CC3CCC(C2)N3CCC(C4=CC=CC=C4)NC(=O)C5CCC(CC5)(F)F)C(C)C,CC1CC(C(C1(C)C)OC(=O)CCCCCCCCCCCCCCC(=O)O)COC(=O)CCCC(=O)O
CC1C2C(C(=O)N2C(=C1SC3CC(NC3)C(=O)N(C)C)C(=O)O)C(C)O,C1=CC=C(C(=C1)CC(=O)O)NC2=C(C=CC=C2Cl)Cl.Cl
CCC(=O)C(CC(C)N(C)C)(C1=CC=CC=C1)C2=CC=CC=C2.Cl,COC(=O)C1=CC=CC=C1O.CCN(CC)CCCC(C(C)C)NC1=C2C=CC(=CC2=NC=C1)Br.[I-]
C1CC(C1)CN2CCC34C5C(CCC3(C2CC6=C4C(=C(C=C6)O)O5)O)O.Cl,C1=CC=C2C(=C1)C(=CN2CCN3CCOCC3)CCC4=CC=CC=C4.Cl
CC(C)C1=NC(=CS1)CN(C)C(=O)NC(C(C)C)C(=O)NC(CC2=CC=CC=C2)CC(C(CC3=CC=CC=C3)NC(=O)OCC4=CN=CS4)O,CCC(=CC(=O)N[C@H]1[C@H]2CC[C@H]3[C@@H](CC[C@@H]4C[C@H](O4)C(C)(C)C)C[C@H]3[C@H]2C[C@@H]1C)C.C1CCC(CC1)N2C3=CC=CC=C3SC4=CC=CC=C42.Cl
C1C2C(C(C3C(O2)NC4=C(N3)C(=O)NC(=N4)N)(O)O)OP(=O)(O1)O.O.O.Br,CC1=NC=NC2=C1N=CN2C3C(C(C(O3)COP(=O)(O)OP(=O)(O)O)O)O.C(=CC(=O)O)C.C(C(=O)COP(=O)(O)OP(=O)(O)O)O.COP(=O)(O)O.CC(C(=O)O)C(C(CC(=O)O)N)O.C(C(=O)O)C(CC(=O)O)N.[Co+2].[Co+2]
CCN1CCN(C(=O)C1=O)C(=O)NC(C2=CC=CC=C2)C(=O)NC3C4N(C3=O)C(C(S4)(C)C)C(=O)[O-].[Na+],CC1C(C(C(Ck2nn(C)c3NCCNCC23)c4cc(c5c(c4C(=O)N1)NC(=O)c6c5cccc6)F)F)O.[Br-]
C1CC(CCC1CNC(=O)CN2CCN(CCN(CCN(CC2)CC(=O)[O-])CC(=O)[O-])CC(=O)[O-])C(=O)NC(CC3=CC4=CC=CC=C4C=C3)C(=O)NCCCCC(C(=O)O)NC(=O)NC(CCC(=O)O)C(=O)O.[Lu+3],C1=CC(=C(C=C1CN2C=CC(=N2)C(=O)NC3=CC(=C(C=C3)Cl)Cl)Cl)C(=O)O.C(C1C(C(C(C(O1)OC2C(OC(C(C2O)O)CO)(C(=O)O)O)N)O)O)O.OS(=O)(=O)O.[Pt+4]
CCN(CC)CCNC(=O)C1=CC=C(C=C1)N.Cl,CC1=C(C(CCC1)(C)C)C(=O)NC(=C(C(=C(C#N)C#N)C#N)C1=CC=C(C=C1)OC)C1=CC=CC=C1.CC1=C(C(CCC1)(C)C)C(=O)NC(=C(C(=C(C#N)C#N)C#N)C1=CC=C(C=C1)OC)C1=CC=CC=C1.Cl
COC1CN(CCC1NC(=O)C2=CC(=C(C=C2OC)N)Cl)CCCOC3=CC=C(C=C3)F.O,C1CN(CCC1N(CC2=CC=CC=C2)C3=CC=CC=C3)C.C(=O)(O)C(=O)(O)O
CCCC1=CC(=O)NC(=S)N1,C1=CC(=C(C=C1N)S(=O)(=O)C2=CC=C(C=C2)Cl)N.Cl
C1CC1CN2CCN(CC2)C(=O)C3=CC=C(C=C3)NS(=O)(=O)C4=CC=CC5=C4N=CC=C5.C1CC1CN2CCN(CC2)C(=O)C3=CC=C(C=C3)NS(=O)(=O)C4=CC=CC5=C4N=CC=C5.O.O.O.OS(=O)(=O)O,CC1(OC=O)OC(C(O)C1O)C2C=CC(=O)C=C2
CCN1C2=CC(=NC=C2C=C(C1=O)C3=CC(=C(C=C3Br)F)NC(=O)NC4=CC=CC=C4)NC,CC1=CC=C(C=C1)C(=O)NC2=CC(=C(C=C2N)N)O.CN[C@H](CC(=O)O)C(=O)O
COC(=O)OCOC1=C2C(=O)N3CCOCC3N(N2C=CC1=O)C4C5=C(CSC6=CC=CC=C46)C(=C(C=C5)F)F,CC1COC2=C(C1C3CC4CC(C3)CC(C4)(C2)N)C(=O)NC5=C(C=CC=C5)Cl
